term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1895	0.0490	0.0277	0.0061	0.0888	0.1065	0.7711	0.4015
tf	False	False	cosine	1,3,4,1	0.2123	0.0579	0.0296	0.0058	0.0999	0.1178	0.7669	0.4074
tf	False	False	cosine	1,1,1,4	0.1217	0.0369	0.0219	0.0061	0.0602	0.0783	0.7514	0.3605
tf	False	False	jaccard	1,1,1,1	0.1295	0.0401	0.0232	0.0063	0.0643	0.0792	0.7411	0.3595
tf	False	False	jaccard	1,3,4,1	0.1548	0.0565	0.0236	0.0061	0.0783	0.0915	0.7326	0.3612
tf	False	False	jaccard	1,1,1,4	0.1153	0.0338	0.0197	0.0056	0.0563	0.0727	0.6572	0.3046
tf	False	False	dice	1,1,1,1	0.1295	0.0401	0.0232	0.0064	0.0643	0.0792	0.7624	0.3650
tf	False	False	dice	1,3,4,1	0.1531	0.0563	0.0236	0.0062	0.0776	0.0925	0.7599	0.3702
tf	False	False	dice	1,1,1,4	0.1194	0.0356	0.0212	0.0060	0.0587	0.0752	0.7667	0.3579
tf	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7608	0.3659
tf	False	False	overlap	1,3,4,1	0.1873	0.0761	0.0273	0.0065	0.0969	0.1094	0.7795	0.4012
tf	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7476	0.3392
tf	False	True	cosine	1,1,1,1	0.2464	0.0878	0.0421	0.0079	0.1254	0.1366	0.8016	0.4676
tf	False	True	cosine	1,3,4,1	0.2665	0.0959	0.0496	0.0076	0.1374	0.1492	0.8082	0.4824
tf	False	True	cosine	1,1,1,4	0.1952	0.0658	0.0360	0.0082	0.0990	0.1121	0.7899	0.4393
tf	False	True	jaccard	1,1,1,1	0.1656	0.0718	0.0341	0.0093	0.0905	0.1028	0.7682	0.4218
tf	False	True	jaccard	1,3,4,1	0.1836	0.0827	0.0392	0.0096	0.1018	0.1114	0.7483	0.4152
tf	False	True	jaccard	1,1,1,4	0.1735	0.0567	0.0287	0.0091	0.0863	0.0992	0.6869	0.3741
tf	False	True	dice	1,1,1,1	0.1661	0.0719	0.0343	0.0093	0.0908	0.1040	0.7912	0.4282
tf	False	True	dice	1,3,4,1	0.1859	0.0841	0.0401	0.0098	0.1034	0.1141	0.7978	0.4389
tf	False	True	dice	1,1,1,4	0.1895	0.0736	0.0364	0.0095	0.0998	0.1107	0.8009	0.4445
tf	False	True	overlap	1,1,1,1	0.1838	0.0855	0.0375	0.0080	0.1022	0.1129	0.7900	0.4343
tf	False	True	overlap	1,3,4,1	0.2150	0.1011	0.0477	0.0092	0.1213	0.1297	0.7974	0.4457
tf	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0940	0.7807	0.4100
tf	True	False	cosine	1,1,1,1	0.2154	0.0947	0.0548	0.0088	0.1216	0.1333	0.8163	0.4588
tf	True	False	cosine	1,3,4,1	0.2110	0.0854	0.0353	0.0086	0.1106	0.1335	0.8120	0.4518
tf	True	False	cosine	1,1,1,4	0.1730	0.0706	0.0372	0.0090	0.0936	0.1084	0.7918	0.4233
tf	True	False	jaccard	1,1,1,1	0.1670	0.0749	0.0284	0.0077	0.0901	0.0992	0.7828	0.4020
tf	True	False	jaccard	1,3,4,1	0.1650	0.0637	0.0246	0.0078	0.0844	0.0964	0.7600	0.3847
tf	True	False	jaccard	1,1,1,4	0.1489	0.0413	0.0220	0.0074	0.0707	0.0861	0.6832	0.3354
tf	True	False	dice	1,1,1,1	0.1670	0.0750	0.0285	0.0078	0.0901	0.0992	0.8041	0.4078
tf	True	False	dice	1,3,4,1	0.1669	0.0794	0.0326	0.0082	0.0929	0.1043	0.8023	0.4072
tf	True	False	dice	1,1,1,4	0.1578	0.0530	0.0251	0.0080	0.0786	0.0927	0.8034	0.4028
tf	True	False	overlap	1,1,1,1	0.1405	0.0643	0.0279	0.0082	0.0776	0.0934	0.7899	0.3956
tf	True	False	overlap	1,3,4,1	0.1604	0.0603	0.0301	0.0089	0.0836	0.0996	0.8087	0.4251
tf	True	False	overlap	1,1,1,4	0.1187	0.0473	0.0264	0.0081	0.0641	0.0809	0.7772	0.3696
tf	True	True	cosine	1,1,1,1	0.2647	0.1178	0.0543	0.0115	0.1456	0.1610	0.8523	0.5128
tf	True	True	cosine	1,3,4,1	0.2519	0.1135	0.0551	0.0126	0.1402	0.1593	0.8533	0.5209
tf	True	True	cosine	1,1,1,4	0.2331	0.1094	0.0558	0.0188	0.1328	0.1474	0.8350	0.4878
tf	True	True	jaccard	1,1,1,1	0.2188	0.0991	0.0384	0.0095	0.1188	0.1295	0.8028	0.4547
tf	True	True	jaccard	1,3,4,1	0.1953	0.0824	0.0362	0.0126	0.1046	0.1206	0.7886	0.4370
tf	True	True	jaccard	1,1,1,4	0.1808	0.0706	0.0313	0.0086	0.0943	0.1073	0.6974	0.3835
tf	True	True	dice	1,1,1,1	0.2342	0.1294	0.0540	0.0099	0.1392	0.1459	0.8409	0.4759
tf	True	True	dice	1,3,4,1	0.2045	0.0982	0.0443	0.0132	0.1157	0.1309	0.8427	0.4679
tf	True	True	dice	1,1,1,4	0.2233	0.1221	0.0590	0.0110	0.1348	0.1414	0.8457	0.4851
tf	True	True	overlap	1,1,1,1	0.1741	0.0807	0.0414	0.0106	0.0987	0.1146	0.8304	0.4643
tf	True	True	overlap	1,3,4,1	0.2049	0.0905	0.0446	0.0104	0.1133	0.1259	0.8381	0.4737
tf	True	True	overlap	1,1,1,4	0.1608	0.0728	0.0379	0.0102	0.0905	0.1053	0.8211	0.4413
tfidf	False	False	cosine	1,1,1,1	0.4658	0.2748	0.1263	0.0434	0.2890	0.2767	0.8852	0.6456
tfidf	False	False	cosine	1,3,4,1	0.4534	0.2641	0.1179	0.0285	0.2785	0.2710	0.8855	0.6458
tfidf	False	False	cosine	1,1,1,4	0.4057	0.2124	0.0825	0.0197	0.2335	0.2302	0.8814	0.6164
tfidf	False	False	jaccard	1,1,1,1	0.3193	0.1783	0.0807	0.0273	0.1928	0.1989	0.8732	0.5978
tfidf	False	False	jaccard	1,3,4,1	0.3029	0.1759	0.0716	0.0219	0.1835	0.1882	0.8756	0.5915
tfidf	False	False	jaccard	1,1,1,4	0.3117	0.1512	0.0638	0.0173	0.1756	0.1837	0.8714	0.5864
tfidf	False	False	dice	1,1,1,1	0.3193	0.1783	0.0807	0.0273	0.1928	0.1989	0.8732	0.5978
tfidf	False	False	dice	1,3,4,1	0.3029	0.1759	0.0716	0.0219	0.1835	0.1882	0.8756	0.5915
tfidf	False	False	dice	1,1,1,4	0.3117	0.1512	0.0638	0.0173	0.1756	0.1837	0.8714	0.5864
tfidf	False	False	overlap	1,1,1,1	0.4358	0.2729	0.1689	0.0278	0.2925	0.2830	0.8856	0.6332
tfidf	False	False	overlap	1,3,4,1	0.4801	0.2835	0.1639	0.0316	0.3092	0.2965	0.8888	0.6465
tfidf	False	False	overlap	1,1,1,4	0.3911	0.2277	0.1307	0.0161	0.2498	0.2404	0.8828	0.6053
tfidf	False	True	cosine	1,1,1,1	0.4944	0.3005	0.1305	0.0569	0.3084	0.2955	0.8787	0.6545
tfidf	False	True	cosine	1,3,4,1	0.4712	0.3174	0.1391	0.0454	0.3092	0.2955	0.8824	0.6565
tfidf	False	True	cosine	1,1,1,4	0.4104	0.2190	0.0888	0.0297	0.2394	0.2385	0.8749	0.6259
tfidf	False	True	jaccard	1,1,1,1	0.3524	0.2188	0.1013	0.0428	0.2242	0.2301	0.8731	0.6173
tfidf	False	True	jaccard	1,3,4,1	0.3236	0.2083	0.0913	0.0422	0.2077	0.2137	0.8741	0.6105
